keys,freq,word1,word2
"""moda fashion""",3,moda,fashion
"""super fashion""",3,super,fashion
"""de football""",3,de,football
"""tu stylist""",3,tu,stylist
"""los looks""",3,los,looks
"""y happy""",3,y,happy
"""el latingrammy""",3,el,latingrammy
"""próximo show""",3,próximo,show
"""esta techtrivia""",3,esta,techtrivia
"""de my""",3,de,my
"""con droidturbo""",3,con,droidturbo
"""una red""",3,una,red
"""tus tweets""",3,tus,tweets
"""de motivation""",3,de,motivation
"""elvacilondelagatita monday""",3,elvacilondelagatita,monday
"""este memorialweekend""",3,este,memorialweekend
"""elvacilondelagatita morningwin""",3,elvacilondelagatita,morningwin
"""de break""",3,de,break
"""no fucking""",3,no,fucking
"""la high""",3,la,high
"""de to""",3,de,to
"""de high""",3,de,high
"""el parking""",3,el,parking
"""tan fucking""",3,tan,fucking
"""qué fucking""",3,qué,fucking
"""un flow""",3,un,flow
"""un date""",3,un,date
"""de hell""",3,de,hell
"""q cool""",3,q,cool
"""pues fine""",3,pues,fine
"""ver zombers""",3,ver,zombers
"""diitas zombers""",3,diitas,zombers
"""de fuck""",3,de,fuck
"""gracias zombers""",3,gracias,zombers
"""la morning""",3,la,morning
"""en full""",2,en,full
"""hay tweets""",2,hay,tweets
"""bailando watch""",2,bailando,watch
"""más cool""",2,más,cool
"""da rt""",2,da,rt
"""esta active""",2,esta,active
"""de comparative""",2,de,comparative
"""un morning""",2,un,morning
"""mi coach""",2,mi,coach
"""jajajja i""",2,jajajja,i
"""la u""",2,la,u
"""en on""",2,en,on
"""d rooms""",2,d,rooms
"""pal gate""",2,pal,gate
"""una shit""",2,una,shit
"""de road""",2,de,road
"""mega party""",2,mega,party
"""un freestyle""",2,un,freestyle
"""cocinar bacon""",2,cocinar,bacon
"""una selfie""",2,una,selfie
"""quedada kronno""",2,quedada,kronno
"""familia zomber""",2,familia,zomber
"""a kronno""",2,a,kronno
"""rap player""",2,rap,player
"""la family""",2,la,family
"""canal zombers""",2,canal,zombers
"""todo zombers""",2,todo,zombers
"""especial halloween""",2,especial,halloween
"""rodó rise""",2,rodó,rise
"""con my""",2,con,my
"""mas epic""",2,mas,epic
"""media fest""",2,media,fest
"""normal :""",2,normal,:
"""chicas gamers""",2,chicas,gamers
"""mañana zombers""",2,mañana,zombers
"""a the""",2,a,the
"""el fucking""",2,el,fucking
"""mucho catfish""",2,mucho,catfish
"""osea i""",2,osea,i
"""mi brother""",2,mi,brother
"""el guy""",2,el,guy
"""la window""",2,la,window
"""ver lol""",2,ver,lol
"""ya ima""",2,ya,ima
"""yo i""",2,yo,i
"""osea we""",2,osea,we
"""pero idk""",2,pero,idk
"""pero you""",2,pero,you
"""bolando lol""",2,bolando,lol
"""la milby""",2,la,milby
"""el room""",2,el,room
"""ya i""",2,ya,i
"""leches or""",2,leches,or
"""ay precious""",2,ay,precious
"""guey lol""",2,guey,lol
"""las girls""",2,las,girls
"""que im""",2,que,im
"""tu flow""",2,tu,flow
"""jaja what""",2,jaja,what
"""abuelo 's""",2,abuelo,'s
"""echarte i""",2,echarte,i
"""peso i""",2,peso,i
"""que finish""",2,que,finish
"""coqueteando i""",2,coqueteando,i
"""tu spam""",2,tu,spam
"""próximo tweet""",2,próximo,tweet
"""de can""",2,de,can
"""sabía ty""",2,sabía,ty
"""favor baby""",2,favor,baby
"""un dm""",2,un,dm
"""dormida i""",2,dormida,i
"""mi income""",2,mi,income
"""rieles lmao""",2,rieles,lmao
"""michelada lmao""",2,michelada,lmao
"""jk lmao""",2,jk,lmao
"""agua lmao""",2,agua,lmao
"""pedo lmao""",2,pedo,lmao
"""sirve lmao""",2,sirve,lmao
"""jajajaja lmao""",2,jajajaja,lmao
"""los rides""",2,los,rides
"""jajajaja you""",2,jajajaja,you
"""jajaja ok""",2,jajaja,ok
"""jajaja its""",2,jajaja,its
"""del weekend""",2,del,weekend
