keys,freq,word1,word2
"""sb ko""",37,sb,ko
"""to nahi""",37,to,nahi
"""govt ka""",37,govt,ka
"""case me""",37,case,me
"""trump ne""",37,trump,ne
"""twitter use""",37,twitter,use
"""hone ke""",37,hone,ke
"""he or""",36,he,or
"""krne k""",36,krne,k
"""to me""",36,to,me
"""k pakistan""",36,k,pakistan
"""k us""",36,k,us
"""congress wale""",36,congress,wale
"""zaid hamid""",36,zaid,hamid
"""cow ka""",36,cow,ka
"""day mana""",36,day,mana
"""to bs""",36,to,bs
"""kr di""",36,kr,di
"""time waste""",36,time,waste
"""ni h""",36,ni,h
"""kr rhe""",36,kr,rhe
"""krne se""",36,krne,se
"""band kar""",35,band,kar
"""channel par""",35,channel,par
"""defend kar""",35,defend,kar
"""wish kr""",35,wish,kr
"""he is""",35,he,is
"""level pe""",35,level,pe
"""school mein""",35,school,mein
"""use kar""",35,use,kar
"""ko b""",35,ko,b
"""trend kar""",35,trend,kar
"""is chutiye""",34,is,chutiye
"""pakistan me""",34,pakistan,me
"""he to""",34,he,to
"""month se""",34,month,se
"""help karo""",34,help,karo
"""ka wait""",34,ka,wait
"""accept kar""",34,accept,kar
"""indira gandhi""",34,indira,gandhi
"""k saath""",34,k,saath
"""cm sir""",34,cm,sir
"""h ab""",34,h,ab
"""occupied kashmir""",34,occupied,kashmir
"""twitter se""",34,twitter,se
"""to kar""",34,to,kar
"""promote kar""",34,promote,kar
"""channel ko""",34,channel,ko
"""logo ko""",34,logo,ko
"""h ya""",33,h,ya
"""ne surrender""",33,ne,surrender
"""media ke""",33,media,ke
"""new india""",33,new,india
"""to imran""",33,to,imran
"""me se""",33,me,se
"""ko follow""",33,ko,follow
"""or ap""",33,or,ap
"""media ka""",33,media,ka
"""un k""",33,un,k
"""attack kar""",33,attack,kar
"""train me""",33,train,me
"""change kiya""",33,change,kiya
"""indian army""",32,indian,army
"""m to""",32,m,to
"""b to""",32,b,to
"""tweeter pe""",32,tweeter,pe
"""award mila""",32,award,mila
"""kr rahe""",32,kr,rahe
"""award de""",32,award,de
"""dm me""",32,dm,me
"""muslims ke""",32,muslims,ke
"""time pe""",32,time,pe
"""normal ho""",32,normal,ho
"""or amit""",32,or,amit
"""change kr""",32,change,kr
"""to hai""",32,to,hai
"""kr lo""",32,kr,lo
"""govt se""",31,govt,se
"""terrorist ke""",31,terrorist,ke
"""account se""",31,account,se
"""drama hai""",31,drama,hai
"""family k""",31,family,k
"""attack kiya""",31,attack,kiya
"""government se""",31,government,se
"""is ka""",31,is,ka
"""cm sahab""",31,cm,sahab
"""or ek""",31,or,ek
"""muslims se""",31,muslims,se
"""is video""",31,is,video
"""k to""",31,k,to
"""share kar""",31,share,kar
"""k lia""",30,k,lia
"""time se""",30,time,se
"""pakistan ke""",30,pakistan,ke
"""camel ka""",30,camel,ka
"""hospital mein""",30,hospital,mein
"""j k""",30,j,k
"""or wo""",30,or,wo
"""curfew laga""",30,curfew,laga
"""video ka""",30,video,ka
"""or vo""",30,or,vo
"""tweet par""",30,tweet,par
"""state ki""",30,state,ki
"""army poori""",30,army,poori
"""is par""",30,is,par
"""k time""",30,k,time
"""state ka""",30,state,ka
"""inho ne""",30,inho,ne
"""kr dena""",30,kr,dena
"""modi ne""",29,modi,ne
"""i think""",29,i,think
"""minister ko""",29,minister,ko
"""channel hai""",29,channel,hai
"""compare kar""",29,compare,kar
"""35a ko""",29,35a,ko
"""country hai""",29,country,hai
"""os k""",29,os,k
"""pta h""",29,pta,h
"""election me""",29,election,me
"""help me""",29,help,me
"""agent hai""",29,agent,hai
"""decide kar""",29,decide,kar
"""life me""",29,life,me
"""help kijiye""",29,help,kijiye
"""lay k""",29,lay,k
"""of kashmir""",29,of,kashmir
"""option nahi""",29,option,nahi
"""ache din""",29,ache,din
"""but ab""",29,but,ab
"""the ab""",29,the,ab
"""level par""",29,level,par
"""hony k""",29,hony,k
"""rss ki""",28,rss,ki
"""to you""",28,to,you
"""response nahi""",28,response,nahi
"""twitter per""",28,twitter,per
"""kia tha""",28,kia,tha
"""matter hai""",28,matter,hai
"""help chahiye""",28,help,chahiye
"""govt hai""",28,govt,hai
"""parliament mein""",28,parliament,mein
"""pure pakistan""",28,pure,pakistan
"""se km""",28,se,km
"""famous ho""",28,famous,ho
"""ke naam""",28,ke,naam
"""media me""",28,media,me
"""ko to""",28,ko,to
"""government ki""",28,government,ki
"""defend karne""",28,defend,karne
"""kar k""",28,kar,k
"""ji ki""",28,ji,ki
"""ly k""",28,ly,k
"""party k""",27,party,k
"""in logon""",27,in,logon
"""accept kiya""",27,accept,kiya
"""k b""",27,k,b
"""congress ek""",27,congress,ek
"""party ne""",27,party,ne
"""ji ko""",27,ji,ko
"""media k""",27,media,k
"""time me""",27,time,me
"""or phir""",27,or,phir
"""pak ap""",27,pak,ap
"""economy ke""",27,economy,ke
"""muslims ne""",27,muslims,ne
"""ji changing""",27,ji,changing
"""pakistan to""",27,pakistan,to
"""or fir""",27,or,fir
"""very good""",27,very,good
"""help karne""",27,help,karne
"""enjoy kar""",27,enjoy,kar
"""company ko""",27,company,ko
"""hua tha""",27,hua,tha
"""ka naam""",27,ka,naam
"""day ke""",27,day,ke
"""easy sant""",27,easy,sant
"""banne ke""",26,banne,ke
"""tweet me""",26,tweet,me
"""economy ko""",26,economy,ko
"""k wo""",26,k,wo
"""terrorist ki""",26,terrorist,ki
"""celebrate kar""",26,celebrate,kar
"""india me""",26,india,me
"""economy ka""",26,economy,ka
"""in se""",26,in,se
"""students ko""",26,students,ko
"""start kar""",26,start,kar
"""free ka""",26,free,ka
"""vote bank""",26,vote,bank
"""ap logon""",26,ap,logon
"""convert kiya""",26,convert,kiya
"""modi g""",26,modi,g
"""suspend ho""",26,suspend,ho
"""focus karo""",26,focus,karo
"""last me""",26,last,me
"""or eid""",26,or,eid
"""movie me""",26,movie,me
"""america ne""",26,america,ne
"""ban gaya""",26,ban,gaya
"""public ko""",26,public,ko
"""to do""",26,to,do
"""loc par""",26,loc,par
"""aug ko""",26,aug,ko
"""par to""",26,par,to
"""k lye""",25,k,lye
"""tweet se""",25,tweet,se
"""to hum""",25,to,hum
"""or agar""",25,or,agar
"""or modi""",25,or,modi
"""h na""",25,h,na
"""to modi""",25,to,modi
"""k liy""",25,k,liy
"""news ke""",25,news,ke
