keys,freq,word1,word2
"""rha hy""",34,rha,hy
"""army ne""",34,army,ne
"""tum to""",33,tum,to
"""ek to""",33,ek,to
"""le kr""",33,le,kr
"""ke support""",33,ke,support
"""i mean""",33,i,mean
"""pakistan to""",33,pakistan,to
"""alag level""",33,alag,level
"""ye b""",33,ye,b
"""ho but""",32,ho,but
"""ki team""",32,ki,team
"""jata h""",32,jata,h
"""or ap""",32,or,ap
"""hai terrorist""",32,hai,terrorist
"""gi or""",32,gi,or
"""par to""",32,par,to
"""hai pakistan""",32,hai,pakistan
"""ka episode""",32,ka,episode
"""party k""",32,party,k
"""ji culture""",32,ji,culture
"""ki or""",32,ki,or
"""k pass""",32,k,pass
"""se he""",32,se,he
"""rhe h""",32,rhe,h
"""sir is""",32,sir,is
"""to us""",32,to,us
"""ek or""",32,ek,or
"""aur news""",32,aur,news
"""vote bank""",31,vote,bank
"""ke muslims""",31,ke,muslims
"""india ki""",31,india,ki
"""to all""",31,to,all
"""do please""",31,do,please
"""jo congress""",31,jo,congress
"""ho ap""",31,ho,ap
"""ki govt""",31,ki,govt
"""ka to""",31,ka,to
"""ji ne""",30,ji,ne
"""india ne""",30,india,ne
"""sc st""",30,sc,st
"""pure world""",30,pure,world
"""pakistan se""",30,pakistan,se
"""h and""",30,h,and
"""koi option""",30,koi,option
"""apne soldiers""",30,apne,soldiers
"""india se""",30,india,se
"""ap to""",30,ap,to
"""to india""",29,to,india
"""poora pakistan""",29,poora,pakistan
"""ko blame""",29,ko,blame
"""tv pm""",29,tv,pm
"""ji is""",29,ji,is
"""sir in""",29,sir,in
"""saudi arabia""",29,saudi,arabia
"""bhi help""",29,bhi,help
"""ki h""",29,ki,h
"""nhi de""",29,nhi,de
"""allah ap""",29,allah,ap
"""main to""",29,main,to
"""hai rss""",29,hai,rss
"""k india""",29,k,india
"""i will""",29,i,will
"""as a""",29,as,a
"""pe attack""",28,pe,attack
"""logon k""",28,logon,k
"""pulwama attack""",28,pulwama,attack
"""log is""",28,log,is
"""to use""",28,to,use
"""ke against""",28,ke,against
"""h wo""",28,h,wo
"""k lie""",28,k,lie
"""ap is""",28,ap,is
"""ko terrorist""",28,ko,terrorist
"""anti national""",28,anti,national
"""ab congress""",28,ab,congress
"""ye btao""",28,ye,btao
"""b to""",28,b,to
"""manmohan singh""",28,manmohan,singh
"""logo ki""",28,logo,ki
"""u have""",28,u,have
"""me indian""",28,me,indian
"""army ko""",27,army,ko
"""hoti to""",27,hoti,to
"""toh is""",27,toh,is
"""jo india""",27,jo,india
"""ki respect""",27,ki,respect
"""hay or""",27,hay,or
"""aaj tk""",27,aaj,tk
"""log or""",27,log,or
"""bat h""",27,bat,h
"""ja skta""",27,ja,skta
"""desh me""",27,desh,me
"""ka result""",27,ka,result
"""ka rape""",27,ka,rape
"""me ek""",27,me,ek
"""k name""",27,k,name
"""hay to""",27,hay,to
"""he in""",27,he,in
"""mere pass""",27,mere,pass
"""happy birthday""",27,happy,birthday
"""bhi block""",27,bhi,block
"""hay is""",26,hay,is
"""allah k""",26,allah,k
"""pakistan main""",26,pakistan,main
"""us time""",26,us,time
"""to ab""",26,to,ab
"""hai muslims""",26,hai,muslims
"""povar jsr""",26,povar,jsr
"""non veg""",26,non,veg
"""allah is""",26,allah,is
"""sun be""",26,sun,be
"""pakistan or""",26,pakistan,or
"""hai congress""",26,hai,congress
"""se is""",26,se,is
"""ap logo""",26,ap,logo
"""guru gobind""",26,guru,gobind
"""aap log""",26,aap,log
"""ke time""",26,ke,time
"""ko is""",26,ko,is
"""ge to""",26,ge,to
"""rhi hy""",26,rhi,hy
"""ko president""",26,ko,president
"""ho skta""",26,ho,skta
"""pata hy""",26,pata,hy
"""hoga to""",26,hoga,to
"""pe to""",26,pe,to
"""tha but""",26,tha,but
"""am a""",26,am,a
"""hen or""",25,hen,or
"""din or""",25,din,or
"""kr skty""",25,kr,skty
"""wo v""",25,wo,v
"""aur terrorist""",25,aur,terrorist
"""rahe the""",25,rahe,the
"""hai indian""",25,hai,indian
"""sun k""",25,sun,k
"""ga k""",25,ga,k
"""ko accept""",25,ko,accept
"""ke lye""",25,ke,lye
"""ka case""",25,ka,case
"""pakistan ne""",25,pakistan,ne
"""she is""",25,she,is
"""and i""",25,and,i
"""aye thy""",24,aye,thy
"""tum or""",24,tum,or
"""ki training""",24,ki,training
"""me plot""",24,me,plot
"""dete the""",24,dete,the
"""ko release""",24,ko,release
"""singh ji""",24,singh,ji
"""jis ny""",24,jis,ny
"""mission mangal""",24,mission,mangal
"""kuch help""",24,kuch,help
"""tha k""",24,tha,k
"""k log""",24,k,log
"""modi g""",24,modi,g
"""pe comment""",24,pe,comment
"""ki fake""",24,ki,fake
"""ki population""",24,ki,population
"""raha h""",24,raha,h
"""kon sa""",24,kon,sa
"""apne state""",24,apne,state
"""tv channel""",24,tv,channel
"""to please""",24,to,please
"""thi to""",24,thi,to
"""gaya to""",24,gaya,to
"""gay to""",24,gay,to
"""ho wo""",24,ho,wo
"""ye news""",24,ye,news
"""mai ny""",24,mai,ny
"""hy or""",24,hy,or
"""hua or""",23,hua,or
"""jammu and""",23,jammu,and
"""i felt""",23,i,felt
"""pe focus""",23,pe,focus
"""jo k""",23,jo,k
"""bjp it""",23,bjp,it
"""aa k""",23,aa,k
"""ho us""",23,ho,us
"""ne or""",23,ne,or
"""ye new""",23,ye,new
"""raha hy""",23,raha,hy
"""k bachy""",23,k,bachy
"""e hind""",23,e,hind
"""hote to""",23,hote,to
"""i wish""",23,i,wish
"""please do""",23,please,do
"""aur 35a""",23,aur,35a
"""mai or""",23,mai,or
"""kr do""",23,kr,do
"""shut up""",23,shut,up
"""ye drama""",23,ye,drama
"""hai govt""",23,hai,govt
"""ab or""",23,ab,or
