keys,word1,word2,Tweets
"""tacos tomorrow""",tacos,tomorrow,i cant wait to get tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,i gotta get some shrimp tacos tomorrow..
"""tacos tomorrow""",tacos,tomorrow,i can’t wait to get these tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,fish tacos tomorrow? 🤔
"""tacos tomorrow""",tacos,tomorrow,"i want scampi’s bad, i think i want that more than tacos tomorrow!"
"""tacos tomorrow""",tacos,tomorrow,free tacos tomorrow!  i hope you'll be there. 
"""tacos tomorrow""",tacos,tomorrow, . better get my tacos tomorrow then. 
"""tacos tomorrow""",tacos,tomorrow,who's going to get some tacos tomorrow with me?  ? 
"""tacos tomorrow""",tacos,tomorrow,"tacos  tonight, tacos tomorrow, tacos  everyday 🤷‍"
"""tacos tomorrow""",tacos,tomorrow,ima make me some shrimp tacos tomorrow it’s been a min 
"""tacos tomorrow""",tacos,tomorrow, im really hoping for tacos tomorrow. need a solid taco truck tuesday.
"""tacos tomorrow""",tacos,tomorrow,we getting tacos tomorrow? 
"""tacos tomorrow""",tacos,tomorrow,i want tacos tomorrow.
"""tacos tomorrow""",tacos,tomorrow, most likely chicken tacos tomorrow  tonight is chili and my special cornbread casserole 🤤 
"""tacos tomorrow""",tacos,tomorrow,you know tf what…. i think i want tacos tomorrow.
"""tacos tomorrow""",tacos,tomorrow,quesadilla today and   tacos tomorrow sound right
"""tacos tomorrow""",tacos,tomorrow,   yeah this is an old standing taco date tbh you can come to nyc.  /  want to get tacos tomorrow afternoon? i have an event in the evening. or are we going to fvckouver?
"""tacos tomorrow""",tacos,tomorrow,i wanna hit a happy hour for tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow, sounds so good! i am making tacos tomorrow soooo might change that to nachos.
"""tacos tomorrow""",tacos,tomorrow,fasho making tacos tomorrow i want a cheesy gordita crunch
"""tacos tomorrow""",tacos,tomorrow,i’m definitely having tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,wait. i can’t even get tacos tomorrow. pack me up 🤬
"""tacos tomorrow""",tacos,tomorrow,i’m leaning towards just tacos tomorrow. 
"""tacos tomorrow""",tacos,tomorrow, tacos tomorrow?
"""tacos tomorrow""",tacos,tomorrow,  wait. so we not going to get tacos tomorrow? we already planned that.
"""tacos tomorrow""",tacos,tomorrow,so yea rocos tacos tomorrow around 6 everyone
"""tacos tomorrow""",tacos,tomorrow,i would like a really great lunch. i’m just unsure what i want to have. also i want to make some bomb ass tacos tomorrow for dinner so the grocery store is a must today.
"""tacos tomorrow""",tacos,tomorrow,can’t wait for these tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow, im making birria tacos tomorrow 🥴
"""tacos tomorrow""",tacos,tomorrow,my dad is going to make me birria tacos tomorrow 🥵
"""tacos tomorrow""",tacos,tomorrow,fuck it i'm making birria queso tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,"went grocery shopping with my grandma for the standard necessities, found some good deals on produce! thinking i’m making a mango slaw with some chipotle shrimp tacos tomorrow. "
"""tacos tomorrow""",tacos,tomorrow,i have to have velvet tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,maybe shrimp tacos tomorrow..
"""tacos tomorrow""",tacos,tomorrow,can’t wait for tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,i’m thinking chicken tacos tomorrow 🤔
"""tacos tomorrow""",tacos,tomorrow,  i will tell ya got some hatch green chiles for tacos tomorrow  your breakfast was inspiring so had some sauce on the eggs this morning as well
"""tacos tomorrow""",tacos,tomorrow,all done and rested. brisket tacos tomorrow for jess's work bbq ... tech-palooza 
"""tacos tomorrow""",tacos,tomorrow,roy requested birria tacos tomorrow for dinner
"""tacos tomorrow""",tacos,tomorrow,i guess i’ll make alexus some shrimp tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,"those chef hiro tacos tomorrow are about to go insane. nigga open up @ 1pm, my ass gon be there @ 1250 bucko"
"""tacos tomorrow""",tacos,tomorrow,part of me wants to make breakfast tacos tomorrow but part of me also wants not have to clean up and go buy them instead
"""tacos tomorrow""",tacos,tomorrow,making tacos tomorrow. chicken or beef
"""tacos tomorrow""",tacos,tomorrow,    we should all do tacos tomorrow night!
"""tacos tomorrow""",tacos,tomorrow, lets get tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,can’t decide if i want birria tacos tomorrow or sushi
"""tacos tomorrow""",tacos,tomorrow,concrete jungle twauny lo’s tacos  tomorrow  7pm-9pm  riverbank park  
"""tacos tomorrow""",tacos,tomorrow,my brother bought me cookies and he’s making me quesa birria tacos tomorrow for my graduation party. 🥺
"""tacos tomorrow""",tacos,tomorrow,  i’m of two minds.  1  i want to know what you got in the bag.  2  i don’t want to know because it will make me hungry.   let’s go with 1 since i’ll have tacos tomorrow regardless. whatcha got in the bag?
"""tacos tomorrow""",tacos,tomorrow, i already had tamales but i’ll grab tacos tomorrow!
"""tacos tomorrow""",tacos,tomorrow,"cookout when i get off, i’ll make them tacos tomorrow."
"""tacos tomorrow""",tacos,tomorrow,definitely making birria tacos tomorrow . follow me on my food instagram to see    
"""tacos tomorrow""",tacos,tomorrow,i think i’m going to get tacos tomorrow.
"""tacos tomorrow""",tacos,tomorrow,all i want to do is get some tacos tomorrow and smoke a joint nothing more nothing less
"""tacos tomorrow""",tacos,tomorrow,i’m getting tacos tomorrow.
"""tacos tomorrow""",tacos,tomorrow,making tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,"imma just say i want oakland tacos for dinner tomorrow, so the man that checks my tweets can take me to oakland for tacos tomorrow cause i want tacos from oakland."
"""tacos tomorrow""",tacos,tomorrow,🥘.. i’ll make tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,i’m doing my preorders for birria tacos tomorrow 🥰🥰🥰🥰
"""tacos tomorrow""",tacos,tomorrow,i want some tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,short rib tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow, tacos tomorrow?
"""tacos tomorrow""",tacos,tomorrow,str8 up tacos tomorrow night 
"""tacos tomorrow""",tacos,tomorrow,shrimp tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,"taco bell, does this count as a comeback? we gettin free tacos tomorrow or nah? "
"""tacos tomorrow""",tacos,tomorrow, does this  comeback mean free fiery locos tacos tomorrow? 
"""tacos tomorrow""",tacos,tomorrow,yo we all get tacos tomorrow? 
"""tacos tomorrow""",tacos,tomorrow,don’t forget your free tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,making quesabirria tacos tomorrow 
"""tacos tomorrow""",tacos,tomorrow,no one is getting free tacos tomorrow….wtf. 
"""tacos tomorrow""",tacos,tomorrow,making shrimp tacos tomorrow 🥺🤤🥴
"""tacos tomorrow""",tacos,tomorrow, we're on night 2 of tacos. tomorrow the rest of the beans are refried and it's burrito night.
"""tacos tomorrow""",tacos,tomorrow,i’m making shrimp and beef tacos tomorrow and i’m already salivating.
"""tacos tomorrow""",tacos,tomorrow, i’ll be bringing breakfast tacos tomorrow so that smooth everything over 
"""tacos tomorrow""",tacos,tomorrow,i’m cooking tacos tomorrow 🤤
"""tacos tomorrow""",tacos,tomorrow,we will have chicken birriá tacos tomorrow at   11 00-2 00 
"""tacos tomorrow""",tacos,tomorrow,my aunt walked in on me crying and now i’m getting a therpist a gym membership and we’re making tacos tomorrow
"""tacos tomorrow""",tacos,tomorrow,i know it’s passed taco tuesday but i’m def making shrimp tacos tomorrow when i get off. with the avocado lime  sauce 
